-19,8336967177857
11,2074140215332
5,64015745750702
0,906235115435815
1,43892350835812
0,467375276118923
3,96618927061578
-1,07526061655698
1,79816943526442
-1,45606562497603
1,43294454673748
-1,85472992303799
-79,4316477723298
6,76778238040533
2,93480211479046
0,0924510459333598
0,462322689240782
-1,69538299974204
-1,67127645085344
-6,02157886135608
3,09197355706641
-0,206479248704739
3,28346746710942
-5,04163353410364
-30,5847088348802
10,649957508207
2,0801152429987
6,12299667975269
6,83823063053929
3,35545761457622
-0,537341883918478
-3,95746528509402
1,59824851582772
-5,48019225009131
0,167321703996096
-0,109775920586325
-35,7816083350213
8,07258347716478
5,62086967233152
3,19799594525246
4,0462109770393
3,44642714432917
3,73369229016855
-0,633427564041857
1,26831905526001
0,869259658840546
-1,32944973449963
-1,39064848817048
-35,3044816807677
10,434571433692
6,12583383418856
4,98644782570396
6,98601525723916
3,81143796688537
3,71045965045962
1,82293132640224
1,88292262184601
0,969082721870828
3,85438874377109
0,422582731621542
-15,587082021378
13,8611111951177
7,89785289828758
5,59187436458143
3,11691544679573
1,24963132029986
1,06388087830704
1,45779430720968
3,31665280244087
2,02780924614139
2,34514973189392
0,450090549788249
-14,9557768179452
16,185644299785
9,62579341505015
4,74515813650262
3,90984103555824
0,877524375203087
2,66764576829528
2,66762683144295
4,21309646923675
-1,70344813322918
1,69226519655394
2,70712787322196
-44,5630510365039
5,7533658763993
19,2210593955126
-0,877314984280433
11,7403650947306
3,22243154721561
2,94699400724407
6,19297518252808
0,473622261944281
2,6736112801991
0,74875266229785
6,14142598611776
-37,1373569259581
8,43486819680817
20,7997353917331
2,6350562557284
7,0434947388065
4,94534020002022
-1,10136068982281
4,20484551332221
3,59540884793897
6,92280155029005
-1,52317578154228
1,43283377797634
-23,7233389773729
15,3403005634298
6,86102607612058
4,49994341693746
3,56385346709555
7,26714079302279
0,0222568987583762
-0,808319064500306
1,67268703857944
1,13816553776806
0,829942742593678
-0,115197295744849
-22,2676228392529
12,7227997591095
5,06625474742045
4,30948030577324
2,42665997365288
7,41289200055979
2,82545836323656
2,31584128097275
1,79945893645099
1,31998783696259
2,13028779847982
2,81350922632785
-55,8411303655191
